,job,marital,education,default,housing,loan,contact,day,month,pdays,poutcome,balance_capped,campaign_capped,age_capped,previous_winsorized,housing_loan,Week,previous_contacted,season,duration,Hasil Prediksi
47523,2,1,1,0,1,0,1,4.0,9,84.0,2,4043.0,1.0,39.0,0.0,0,0,1,3,730.0,1
69578,1,2,2,0,1,0,,21.0,4,-1.0,1,2976.0,1.0,32.0,0.0,0,2,0,1,174.0,0
2921,0,1,1,0,1,0,0,12.0,4,-1.0,1,34.0,4.0,28.0,0.0,0,1,0,1,136.0,0
70153,1,2,2,,,0,1,20.0,3,-1.0,1,267.0,1.0,61.0,0.0,0,2,0,1,190.0,1
6907,8,0,1,0,0,0,1,5.0,1,-1.0,1,4043.0,6.0,53.0,0.0,0,0,0,0,8.0,0
9016,3,2,1,0,0,0,1,11.0,7,-1.0,1,751.0,4.0,45.0,0.0,0,1,0,2,176.0,0
14158,3,1,0,0,0,0,1,4.0,4,-1.0,1,551.0,3.0,28.0,0.0,0,0,0,1,264.0,0
47525,3,1,1,0,0,0,1,21.0,7,95.0,3,171.0,1.0,24.0,2.0,0,2,1,2,280.0,1
7452,11,2,2,0,0,0,1,22.0,6,-1.0,1,127.0,1.0,39.0,0.0,0,3,0,2,77.0,0
14079,7,2,0,0,0,0,1,18.0,7,-1.0,1,50.0,3.0,57.0,0.0,0,2,0,2,89.0,0
39627,9,1,1,0,1,0,1,13.0,4,-1.0,1,241.0,1.0,22.0,0.0,0,1,0,1,200.0,0
24357,2,2,0,0,1,0,2,28.0,6,-1.0,1,488.0,6.0,45.0,0.0,0,3,0,2,90.0,0
74469,1,1,1,0,1,0,,,7,-1.0,1,877.0,1.0,28.0,0.0,0,,0,2,511.0,1
1356,3,2,1,0,1,0,1,18.0,4,-1.0,1,3917.0,1.0,55.0,0.0,0,2,0,1,565.0,1
33070,2,2,2,0,0,0,0,26.0,5,-1.0,1,625.0,4.0,55.0,0.0,0,3,0,2,48.0,0
72161,8,0,2,0,,1,,19.0,,146.0,0,2279.0,,44.0,1.0,0,2,1,0,105.0,0
51376,1,2,2,0,0,0,1,27.0,8,111.0,3,4043.0,2.0,57.0,3.0,0,3,1,3,329.0,1
35233,1,2,2,0,0,0,0,11.0,5,-1.0,1,396.0,2.0,50.0,0.0,0,1,0,2,62.0,0
63331,3,2,2,0,1,0,1,8.0,6,-1.0,1,-179.0,4.0,33.0,0.0,0,1,0,2,1297.0,1
9931,5,2,1,0,1,0,0,30.0,4,-1.0,1,840.0,3.0,45.0,0.0,0,3,0,1,54.0,0
15696,5,0,1,0,0,0,1,5.0,1,212.0,2,381.0,1.0,50.0,2.0,0,0,1,0,519.0,0
34529,8,2,1,0,0,0,1,26.0,4,-1.0,1,2915.0,2.0,37.0,0.0,0,3,0,1,314.0,0
32363,1,2,2,0,1,0,2,21.0,6,-1.0,1,2704.0,1.0,51.0,0.0,0,2,0,2,443.0,0
66301,1,2,1,0,0,0,1,12.0,7,-1.0,1,459.0,4.0,50.0,0.0,0,1,0,2,626.0,1
36651,0,2,1,0,0,0,1,9.0,3,325.0,2,488.0,1.0,42.0,1.0,0,1,1,1,230.0,0
41208,0,2,1,0,1,0,1,25.0,1,285.0,0,948.0,2.0,43.0,1.0,0,3,1,0,536.0,1
27090,0,2,1,0,0,0,1,13.0,7,-1.0,1,763.0,6.0,33.0,0.0,0,1,0,2,182.0,0
18753,1,1,1,0,1,0,1,9.0,6,-1.0,1,1090.0,1.0,30.0,0.0,0,1,0,2,65.0,0
44742,6,1,1,0,0,0,1,14.0,5,-1.0,1,320.0,4.0,23.0,0.0,0,1,0,2,152.0,1
33895,1,2,0,0,1,0,1,17.0,10,-1.0,1,4043.0,1.0,41.0,0.0,0,2,0,3,984.0,1
